"major","comandante"
"natural minor","menor natural"
"harmonic minor","menor arm¢nico"
"melodic minor","menor mel¢dico"
"myxolydian","mixolidio"
"glass","vidrio"
"ice","hielo"
"mud","barro"
"stone","piedra"
"water","agua"
"far","lejos"
"low","bajo"
"outside","fuera"
"cavern","caverna"
"desert","desierto"
"forest","bosque"
"taiga","bosque boreal"
"glacier","glaciar"
"savanna","sabana"
"lake","lago"
"mountains","monta¤as"
"ocean","oc‚ano"
"sky","cielo"
"tavern","taverna"
"tomb","tumba"
"underworld","inframundo"
"marsh","marisma"
"swamp","pantano"
"drums","tambores"
"attack","ataca"
"drink","Bebida"
"eat","comer"
"trade","comerciar"
"a ligament","un ligamento"
"gem","gema"
"metal","Metal"
"announcement","anuncio"
"companion","compa¤ero"
"speak","hablar"
"generic","Generico"
"confirm","confirmar"
"A murderous ghost.","Un  nima asesina."
"Strapped to ","Atado a "
"been scuttled.","sido hundido."
" have married.  Congratulations!"," se ha casado. Felicitaciones!"
"devouring ","devorando "
"Any image data you've changed will be lost.","Cualquier informaci¢n de imagen que hayas cambiado se perder ."
"State feelings of exhilaration","Expresar sentimientos de est¡mulo"
"spurning the truth and refused to listen","despreciando la verdad y se neg¢ a escuchar"
"Needs adjacent wall","Necesita una pared adyacente"
"to paint the zone.","para pintar la zona."
"Your citizens will eat at this zone.  When not assigned to a particular citizen, citizens without their own dining hall will eat here.  Tables and adjacent chairs should be included.","Tus ciudadanos comer n en esta zona. Cuando no est‚ asignado a un ciudadano en particular, los ciudadanos sin comedor propio comer n aqu¡. Se deben incluir mesas y sillas adyacentes."
"Toggle the display of spoor for tracking.","Alternar la visualizaci¢n de rastros para el seguimiento."
"Workers ignore minerals","Los trabajadores ignoran los minerales"
"[C:6:0:1].Moderate swelling","[C:6:0:1].Hinchaz¢n moderada"
"Became ","Se convirti¢ en "
"more curious","mas curioso"
"is enormous yet skinny","es enorme pero delgado"
"its","es"
"it","eso"
"itself","s¡ mismo"
"Activity","Actividad"
"Training Session","Sesi¢n de entrenamiento"
"Activity Event","Evento de Actividad"
"Research","Investigar"
"Play","Jugar"
"Worship","Adorar"
"Socialize","Socializar"
" empty "," vac¡o "
