"death","смърт"
"The bucket is full.","Кофата е пълна."
"slayer","убиец"
"This visitor is ready to leave.","Посетителят е готов да си върви."
"poet","поет"
" is speaking"," говори"
"Impossible","Невъзможно"
"Independence","Независимост"
"I am very confused.","Аз съм много объркан."
"Thoughts","Мисли"
"doctor","лекар"
"Here","Тук"
"Peace","Мир"
"1/2 day's travel","1/2 ден път"
"I am confused.","Аз съм объркан"
"Health","Здраве"
"You continue the story.","Ти продължаваш историята."
"Sleep","Сън"
"The well is dry.","Кладенецът е сух."
"dancer","танцьор"
"respected group","уважавана група"
"You have written ","Ти си написал "
"lord","лорд"
"Friendship","Приятелство"
" named "," на име "
"Impossible strike","Невъзможен удар"
"We must go back.","Трябва да се върнем."
"Loyalty","Лоялност"
"main tower (255,0,255)","главна кула (255,0,255)"
"Skilled hunter","Умел ловец"
"library (255,192,255)","библиотека (255,192,255)"
"murderer","убиец"
"loud noises made it impossible to sleep","шумни звуци направиха съня невъзможен"
"killer","убиец"
"The story continues.","Историята продължава."
"Fishermen","Рибари"
"The enemy!","Врагът!"
"Neighbors:","Съседи:"
"trenches (0,0,0)","окопи (0,0,0)"
"Items","Предмети"
"Woodcutters","Дърворезбар"
" gives you "," ти дава "
"warehouse (50,50,50)","склад (50,50,50)"
"I am ready!","Аз съм готов!"
"Proud","Горд"
"Once this process is complete, you can prepare a group and send them out to seek wealth deep in the mountains. ","Когато процесът е завършен, можеш да подготвиш група и да я изпратиш в търсене на богатство дълбоко в планините. "
"Rooms","Стаи"
"Loss","Загуба"
"It has no writing.","Няма нищо написано."
"There is no bucket.","Няма кофа."
"food","храна"
"bandits","разбойници"
"Tolerant","Толерантен"
"Curious","Любопитен"
"Truth","Истина"
"Nearly impossible","Почти невъзможно"
"It has no pages.","Няма страници."
"Other skills","Други умения"
"us","ние"
" is dead!"," е мъртъв!"
"house (100,70,10)","къща (100,70,10)"
"cheese market (255,255,0)","пазар за сирена (255,255,0)"
"Murderer!","Убиец!"
"defenseless","беззащитен"
" there"," там"
"Power","Сила"
"Groups","Групи"
"Only one master may be assigned to each workshop.","Само един майстор може да бъде назначен на всяка работилница."
"The well is operational.","Кладенецът работи."
"just","просто"
"cave","пещера"
"Values skill","Цени умение"
"Skill","Умение"
" gets angry"," се ядосва"
"This land has no important leaders.","Тази земя няма важни лидери."
"master","господар"
"Hunters","Ловци"
"Skills","Умения"
"enemy fighter","вражески войн"
"The pages are blank.","Страниците са празни."
"Miners","Миньори"
"the bandits","разбойниците"
"body","тяло"
"bodies","тела"
"right hand","дясна китка"
"right hands","десни китки"
"дясна киткаs","десни китки"
"left hand","лява китка"
"left hands","леви китки"
"лява киткаs","леви китки"
"first neck","първи врат"
"first necks","първи вратове"
"първи вратs","първи вратове"
"second neck","втори врат"
"second necks","втори вратове"
"втори вратs","втори вратове"
"third neck","трети врат"
"third necks","трети вратове"
"трети вратs","трети вратове"
"fourth neck","четвърти врат"
"fourth necks","четвърти вратове"
"четвърти вратs","четвърти вратове"
"fifth neck","пети врат"
"fifth necks","пети вратове"
"пети вратs","пети вратове"
"sixth neck","шести врат"
"sixth necks","шести вратове"
"шести вратs","шести вратове"
"seventh neck","седми врат"
"seventh necks","седми вратове"
"седми вратs","седми вратове"
"first head","първа глава"
"first heads","първи глави"
"първа главаs","първи глави"
"second head","втора глава"
"second heads","втори глави"
"втора главаs","втори глави"
"head","глава"
"heads","глави"
"главаs","глави"
"neck","врат"
"necks","вратове"
"вратs","вратове"
"eyes","очи"
"beauty","красота"
"skin","кожа"
"shape","форма"
