"more presumptious","더 주제넘은"
"Unknown creature in ","알 수 없는 생물 "
"has an extremely thin frame with a lot of fat on it","지방이 많은 매우 얇은 프레임을 가지고 있습니다."
"stuck on research topic","연구 주제에 갇혀"
"Seek Patient for Diagnosis","진단을 위해 환자 찾기"
"full ","가득한 "
"Quick to despair","쉽게 절망함"
"Archery","궁술"
"Early evening","이른 저녁"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","전쟁은 때때로 필요합니다, 하지만 평화를 영위할 수 있을때는 소중하게 유지해야합니다."
"Woodworking","목공"
"steward","청지기"
"no longer imprisoned","더 이상 투옥되지 않음"
"devouring ","삼키는 "
"medicine:method:cauterization","의학:방법:소작술"
"Brook","시냇물"
"Open tree-felling mode","벌목 모드 열기"
"This must be the will of ","이것은 의지여야 한다. "
"Ice Track (SEW)","아이스 트랙(SEW)"
"I will accept the child into my home.","나는 그 아이를 내 집으로 받아들일 것이다."
"the treatment of plants","식물의 치료"
" Bin"," 큰 상자"
"the completion of ","완성 "
"Go to Writing Place","작성 장소로 이동"
"Need soil at location","위치에 토양이 필요합니다"
"Bookcases: ","책장: "
"has a narrow","좁다"
"artfully indulges the author's fancies","작가의 취향을 교묘하게"
" divine aspect of "," 의 신성한 측면 "
"This parameter set will be reset.","이 매개변수 세트는 재설정됩니다."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","새 영역을 그리기 시작합니다. 타일을 선택하면 세부 정보를 설정할 수 있습니다."
"after being away from family","가족과 떨어져 있은 뒤에"
"interacting with a pet","애완 동물과 상호 작용"
" starts to mutter under "," 아래에서 중얼거리기 시작한다 "
"Tools","도구"
"Chase Opponent Flood","체이스 상대 홍수"
"Extract from raw fish","물고기에서 추출"
"presents a different view of the subject of","의 주제에 대해 다른 관점을 제시한다."
"a strengthening ","강화 "
"This","이것"
"the surrounding area","주변 지역"
"is grounded in reality","현실에 근거하다"
"This is love.","이것은 사랑입니다."
"the collision of ","의 충돌 "
"really slow to heal","치유가 정말 느림"
"sticks","막대기"
"Up/Down Stair","양방향 계단"
"Excellent","훌륭한"
"novel","소설"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","정류장의 차량이 물건을 교환할 저장구역을 선택합니다. 차량이 원하는 항목을 가져가고 다른 항목은 차량에서 내립니다."
"Forbid trap cleaning during sieges","포위 공격 중 함정 청소 금지"
"It makes me very anxious.","그것은 나를 매우 불안하게 만듭니다."
"believes that the time taken to master a skill is a horrible waste","기술을 습득하는 데 걸리는 시간이 끔찍한 낭비라고 생각합니다."
", but it passes right through!",", 하지만 그것은 바로 통과한다!"
"doesn't respect a society that has settled into harmony without debate and strife","논쟁과 투쟁 없이 조화롭게 정착한 사회를 존중하지 않는다."
"al voices bring melody, counterpoint and rhythm","모든 목소리는 멜로디, 대위법 및 리듬을 가져옵니다."
"is tiny and weak","작고 약하다"
"the divergence of the harmonic series","고조파 계열의 발산"
"Charge Attack","차지 어택"
"It is an example of ","다음이 그 예시다. "
"Crushed under a collapsing ceiling","무너지는 천장 아래 깔려"
"Certainly considered a bully","확실히 깡패로 간주됨"
"the construction and use of the water-powered trip hammer","수력 트립 해머의 구성 및 사용"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","많은 위험으로 가득 찬 세상에서 당신의 용맹한 돌격을 행운으로 인도할 준비를 하십시오. "
"strings vibrate","문자열 진동"
"I was yelled at by an unhappy citizen.","나는 불행한 시민에게 소리를 질렀습니다."
"high-voiced","고음의"
"Others were too wary to make the journey.","다른 사람들은 여행을 하기에는 너무 조심스러웠습니다."
"zaniness","광대"
" was claimed"," 주장되었다"
"is never moved by the emotions of others","다른 사람들의 감정으로 결코 움직이지 않는다."
"be moderately loud","적당히 시끄럽다"
"finds leisure time wasteful","여가 시간을 낭비라고 본다"
"Loading work quotas...","작업 할당량 로드 중..."
"Cannot generate random creatures -- missing creature variation ","임의 생물을 생성할 수 없음 -- 생물 변형 누락 "
"a murder","살인"
"events","이벤트"
"You begin","당신은 시작한다"
"thrilled","감격한"
"a foiled corruption conspiracy","실패한 부패 음모"
"amber","호박색"
"being unable to find somebody to complain to about job scarcity","일자리 부족에 대해 불평할 사람을 찾을 수 없음"
