"more presumptious","pió presuntuoso"
"Unknown creature in ","Creatura sconosciuta in "
"has an extremely thin frame with a lot of fat on it","ha una struttura estremamente esile con molto grasso sopra"
"stuck on research topic","bloccato sull'argomento di ricerca"
"Seek Patient for Diagnosis","Ricerca del paziente per la diagnosi"
"full ","completo "
"Quick to despair","Si dispera facilmente"
"Archery","Tiro con l'arco"
"Early evening","Sera presto"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","A volte la guerra ä necessaria ma anche la pace va apprezzata, quando la si puï avere."
"Woodworking","Lavorazione del legno"
"steward","amministratore"
"Vermin escaped from cage","Animale dannoso fuggito dalla gabbia"
"no longer imprisoned","non pió imprigionato"
"Infiltration Plot","Trama d'infiltrazione"
"devouring ","divorando "
"medicine:method:cauterization","medicina:metodo:cauterizzazione"
"Brook","Ruscello"
"Continue action","Continua azione"
"Open tree-felling mode","Apri modalitÖ abbattimento alberi"
"This must be the will of ","Questa dev'essere la volontÖ di "
"Ice Track (SEW)","Binario di Ghiaccio (SEO)"
"I will accept the child into my home.","Accetterï il bambino nella mia casa."
"the treatment of plants","la cura delle piante"
" Bin"," Cesto"
"the completion of ","il completamento di "
"Go to Writing Place","Vai a Luogo di Scrittura"
"Need soil at location","Serve suolo nel luogo"
"Bookcases: ","Librerie: "
"has a narrow","ha uno stretto"
"artfully indulges the author's fancies","asseconda ad arte le fantasie dell'autore"
" divine aspect of "," aspetto divino di "
"This parameter set will be reset.","Questo set di parametri sarÖ azzerato."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Dipingi una nuova zona.  Una volta scelte le tessere sarÖ possibile impostare i dettagli."
"After a long journey, you are here to meet your most trusted companion.","Dopo un lungo viaggio, sei qui per incontrare il tuo compagno pió fidato."
"after being away from family","dopo la lontananza dalla famiglia"
"interacting with a pet","interagire con un animale domestico"
" starts to mutter under "," inizia a borbottare sotto "
"Tools","Attrezzi"
"Chase Opponent Flood","Insegui Avversario Alluvione"
"Extract from raw fish","Estrai da pesce crudo"
"In party: ","In gruppo: "
"  [C:2:0:1]You have been ordered to kill this creature.","  [C:2:0:1]Ti ä stato ordinato di uccidere questa creatura."
"presents a different view of the subject of","presenta una visione diversa sul tema della"
"a strengthening ","un rafforzamento "
"This","Questa"
"'s acceptance of ","accettazione di "
"the surrounding area","l'area circostante"
"is grounded in reality","ä basato sulla realtÖ"
"This is love.","Questo ä amore."
"the collision of ","la collisione di "
"really slow to heal","davvero lento a guarire"
"sticks","bastoni"
"Up/Down Stair","Scala in Su/Gió"
"Huge Profile","Profilo enorme"
"Excellent","Eccellente"
"novel","romanzo"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","Scegli una scorta con la quale il veicolo alla fermata del binario scambierÖ oggetti.  Il veicolo prenderÖ gli oggetti desiderati e scaricherÖ gli altri."
"Forbid trap cleaning during sieges","Vieta pulizia di trappole durante assedi"
"It makes me very anxious.","Mi rende molto ansioso."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","Su, commerciamo!  Dimmi semplicemente cosa ti interessa e cosa sei disposto ad offrire in cambio."
"believes that the time taken to master a skill is a horrible waste","ritiene che il tempo necessario per padroneggiare un'abilitÖ sia un tremendo spreco"
"grow funding network","accresci rete di finanziamento"
", but it passes right through!",", ma passa attraverso!"
"doesn't respect a society that has settled into harmony without debate and strife","non rispetta societÖ stabilizzate in armonia senza discussioni e lotte"
"al voices bring melody, counterpoint and rhythm","al voci portano melodia, contrappunto e ritmo"
"is tiny and weak","ä piccolo e debole"
"the divergence of the harmonic series","la divergenza della serie armonica"
"Charge Attack","Carica Attacco"
"It is an example of ","‘ un esempio di "
"Crushed under a collapsing ceiling","Schiacciato da un soffitto crollato"
"Cannot chop tree","Impossibile tagliare albero"
"Certainly considered a bully","Sicuramente di tratta di un prepotente"
"the construction and use of the water-powered trip hammer","la costruzione e l'uso del maglio idraulico"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Preparati a guidare i tuoi carichi pesanti verso la fortuna in un mondo pieno di pericoli. "
"strings vibrate","le corde vibrano"
"I was yelled at by an unhappy citizen.","Sono stato sgridato da un cittadino infelice."
"high-voiced","con voce acuta"
"Others were too wary to make the journey.","Altri erano troppo diffidenti per affrontare il viaggio."
"zaniness","vanaglorioso"
" was claimed"," ä stato rivendicato"
"is never moved by the emotions of others","non ä mai commosso dalle emozioni altrui"
"be moderately loud","ä moderatamente rumoroso"
"finds leisure time wasteful","trova il tempo libero uno spreco"
"Loading work quotas...","Caricamento delle quote di lavoro..."
"Cannot generate random creatures -- missing creature variation ","Impossibile generare creature casuali -- manca variante creatura "
"a murder","un omicidio"
"events","avvenimenti"
"You begin","Inizi"
"thrilled","elettrizzato"
"ash","cenere"
"a foiled corruption conspiracy","una cospirazione per corruzione sventata"
"amber","ambra"
"being unable to find somebody to complain to about job scarcity","non riuscire a trovare qualcuno con cui lamentarsi della scarsitÖ di posti di lavoro"
"various civilized races peopled the world.","varie razze civilizzate hanno popolato il mondo."
"Children.","Bambini."
"more wasteful","pió sprecone"
"Investigate or interrogate (new menu)","Indagare o interrogare (nuovo menó)"
" from a period of no rule"," da un periodo privo di regole"
" second"," secondo"
"has a narrow, prominent","ha uno stretto, prominente"
"to beseech","per implorare"
"Collapsed","Crollato"
"engineering:machine:piston","ingegneria:macchinario:pistone"
"Furniture/siege ammo","Mobili/munizioni d'assedio"
"to bathe the world in chaos","per sommergere il mondo nel caos"
"Requests (Imports from ","Richieste (Importazioni da "
