", but it passes right through!",", per• li passa de llarg!"
"You begin","Comences"
"You conclude your performance.","Conclous la teva actuaci¢."
" and the "," i el "
" a mesmerizing tale!"," un relat fascinant!"
"death","mort"
"Research","Investigar"
"slayer","matador"
" of previous passages"," dels passatges previs"
"Watch Sparring Practice","Observar Pr…ctica d'Entrenament"
"the part","la part"
"the coda","la coda"
"We haven't performed for some time.","Ja fa temps des que vam actuar."
" playing the "," tocant el "
", having completely forgotten the words.",", havent oblidat completament les paraules."
" and even forget"," i incl£s oblida"
" the perfect phrasing."," l'estil perfecte."
" stanza"," estan‡a"
" with a shameworthy performance."," amb una actuaci¢ penosa."
"Learn ","Aprendre "
"We should be making better progress.","Devem anar per bon cam¡."
"Read","Llegir"
" the poem to life with this flawless recitation."," el poema a la vida amb aquesta recitaci¢ impecable."
" with "," amb "
"chanting","corejant"
"begin","comen‡ar"
"Write","Escriure"
"We have arrived at our destination.","Hem arribat al nostre dest¡."
"Go to Individual Combat Drill","Anar a Exercici de Combat Individual"
", but it glances away!",", per• es desvia!"
"You continue the poem.","Continues el poema."
" enunciate"," enunciar"
" and the severed part sails off in an arc!"," i la part danyada ix disparada fent un arc!"
"Serve Customer","Servir un Client"
"You've learned ","Has apr‚s "
"We must not abandon ","No hem d'abandonar "
" embraces "," abra‡a "
"Spar","Combatre"
"Wait for Combat Training","Esperar a l'Entrenament de Combat"
"Pray to ","Pregar a "
"flying ","volant "
" has discovered "," ha descobert "
" playing with "," jugant amb "
"Chant","Corejar"
"We should have made it there by now.","Ara mateixa ja deur¡em haver arribat."
" telling the tale quite well."," contant la hist•ria prou b‚."
" flawlessly, like someone out of a legend!"," impecablement, com alg£ tret d'una llegenda!"
"The poetry enters","La poesia comen‡a"
"Training Session","Sessi¢ d'Entrenament"
"You continue the story.","Continues la hist•ria."
"Sing","Cantar"
"Sleep","Dormir"
" are indistinguishable!"," s¢n indistinguibles!"
" seem to know how to play the "," sembla saber com tocar el "
" tell"," contar"
" in the "," en el "
"first ","primer "
"Serve ","Servir "
" from the side"," des d'un costat"
" sound"," sonar"
"The music enters ","La m£sica comen‡a "
" in the middle of "," enmig de "
"dancing ","dansant "
", but it is deflected by ",", per• ‚s desviat per "
"Play","Jugar"
"singing","cantant"
"/Resting","/Descansant"
" concludes a performance."," conclou una actuaci¢."
" of the two themes"," dels dos temes"
" pick up "," recollir "
"the musical composition ","la composici¢ musical "
"You cannot perform here.","No pots actuar aqu¡."
"lord","senyor"
" over the details."," amb els detalls."
" is smashed into the body, an unrecognizable mass!"," ‚s estavellat contra el cos, una massa irrecognoscible!"
" beautifully."," bellament."
"Teach ","Ensenyar "
" stumble"," trabar-se"
"Meditate on ","Meditar sobre "
" well."," b‚."
"don't","no"
" the "," el "
"Some performers finish their act.","Alguns artistes finalitzen la seva actuaci¢."
" choose"," elegir"
" splits in gore!"," explota en una carnisseria!"
" get"," quedar-se"
"You could not find a partner.","No has pogut trobar parella."
" empty "," buidar "
"Organize Combat Training","Organitzar l'Entrenament de Combat"
" Demonstration"," Demostraci¢"
" vaguely like the intended "," vagament com s'esperava "
" the words evocatively."," les paraules de manera evocadora"
"the stanza","l'estan‡a"
"We must go back.","Hem de tornar enrere."
"the finale","el final"
"Copy","Copiar"
" dancing well."," dansant b‚."
" of the previous passage"," del passatge previ"
", lightly tapping the target!",", tustant lleument l'objectiu!"
"Lead ","Dirigir "
"Write about ","Escriure sobre "
"You feel like you know the basic rules of ","Sents que coneixes les regles b…siques de "
", but the attack glances away!",", per• l'atac es desvia!"
"song","can‡¢"
"The dance continues.","La dansa continua"
"The performers","Els artistes"
"murderer","assass¡"
"is","‚s"
"killer","assass¡"
"a recapitulation","una recapitulaci¢"
"a series of variations","una sŠrie de variacions"
" the story in vivid detail."," la hist•ria amb tota mena de detalls."
"Organize ","Organitzar "
", but the attack is deflected by ",", per• l'atac ‚s desviat per "
"The story continues.","La hist•ria continua."
" has finished performing."," ha acabat d'actuar."
" speak"," parlar"
"Watch Dance","Mirar la Dansa"
" on the second theme"," al segon tema"
"The ","El "
"Play Make Believe","Jugar a Fer Creure"
"the verse paragraph","l'estrofa"
"Listen to Story","Escoltar la Hist•ria"
"improvised music, ","m£sica improvisada, "
" play"," tocar"
" gives you "," et d¢na "
" crisply."," acuradament."
"There is not enough room to perform here.","No hi ha suficient espai per actuar aqu¡."
"the exposition","l'exposici¢"
"Play ","Tocar "
"You continue the music.","Continues la m£sica."
" verse paragraph"," estrofa"
"chant","cant"
"a bridge-passage","un passatge pont"
"Loss","PŠrdua"
"Archery Practice","Pr…ctica amb Arc"
" line."," l¡nia."
"It has no writing.","No t‚ res escrit."
"Watch ","Mirar "
"an improvised recital of ","un recital improvisat de "
", but there is no force!",", per• no hi ha for‡a!"
"Go to Combat Training","Anar a l'Entrenament de Combat"
"Play with ","Jugar amb "
" of the first theme"," del primer tema"
"Tell Story","Contar una Hist•ria"
"begins","comen‡a"
" could nearly pass for the voice of the "," quasi podria passar per la veu de "
"There are not enough dancers.","No hi han suficients ballarins."
" poorly."," de manera pobra."
"Activity","Activitat"
" a mockery of the "," una burla del "
"reciting the poem ","recitant el poema "
" on the first theme"," al primer tema"
"Activity Event","Event d'Activitat"
" of the second theme"," del segon tema"
"It has no pages.","No t‚ cap p…gina."
"The oppressor has been overthrown!","L'opressor ha estat enderrocat!"
"Recite Poetry","Recitar Poesia"
"Wait for ","Esperar a "
"Discuss ","Parlar "
"a toy","una joguina"
" has become a student of "," s'ha convertit en estudiant de "
"Ruin","Ru‹na"
"Perform Dance","Fer una Dansa"
"theme","tema"
"Go to Sparring Practice","Anar a Pr…ctica de Combat"
" make"," fer"
"an improvised dance, ","una dansa improvisada, "
"Go to Sparring Match","Anar a Entrenament de Combat"
", but the attack passes right through!",", per• l'atac li passa de llarg!"
"We are going the wrong way.","Estem anant pel cam¡ equivocat."
"The music continues.","La m£sica continua."
" picks up "," recull "
" sloppily"," desordenadament"
" bring"," portar"
" delivering a virtuoso performance on the "," regalant una actuaci¢ virtuosa amb el "
"Perform Music","Tocar M£sica"
"Go to ","Anar a "
" playing make believe."," jugant a fer creure."
"a verse","un vers"
" from behind"," des de darrere"
" on the theme"," al tema"
"a simple passage","un passatge simple"
"the ","la "
" of the theme"," del tema"
"just","tan sols"
" and "," i "
"second ","segon "
"The poem continues.","El poema continua."
" tangled up."," embullat."
"Listen to Music","Escoltar la M£sica"
"sing","cantar"
"the introduction","la introducci¢"
" with skill."," amb destresa."
"the story of ","la hist•ria de "
"Your","El teu"
"the synthesis","la s¡ntesi"
"a chorus","una tornada"
"Socialize","Socialitzar"
"Some","Alguns"
"The performers are finished.","Els artistes han acabat."
"master","mestre"
" now."," ara."
" by the "," pel "
"The dance enters a new section with ","La dansa comen‡a una nova secci¢ amb "
"Ponder ","Reflexionar "
" dance"," dansa"
" dancing exceptionally."," dansant excepcionalment."
" mumble"," balbotejar"
"doesn't","no"
"Worship","Venerar"
"Listen to Poetry","Escoltar la Poesia"
" is absolutely flawless."," ‚s absolutament impecable."
"Individual Combat Drill","Exercici de Combat Individual"
"Lead Combat Training","Dirigir l'Entrenament de Combat"
"Simulate ","Imitar "
" some of the words."," algunes de les paraules."
"The pages are blank.","Les p…gines estan en blanc."
" weave"," teixir"
"spinning ","girant "
" recite"," recitar"
"You continue the dance.","Continues la dansa."
"You enter ","Comences "
" empties "," buida "
"body","cos"
"bodies","cossos"
"upper body","cos superior"
"upper bodies","cossos superiors"
"lower body","cos inferior"
"lower bodies","cossos inferiors"
"right upper arm","bra‡ superior dret"
"left upper arm","bra‡ superior esquerre"
"right lower arm","avantbra‡ dret"
"left lower arm","avantbra‡ esquerre"
"right hand","m… dreta"
"left hand","m… esquerra"
"right upper leg","cuixa dreta"
"left upper leg","cuixa esquerra"
"right lower leg","cama inferior dreta"
"left lower leg","cama inferior esquerra"
"right foot","peu dret"
"right feet","peus drets"
"left foot","peu esquerre"
"left feet","peus esquerres"
"right front leg","cama davantera dreta"
"left front leg","cama davantera esquerra"
"eyes","ulls"
