"You begin","Je begint"
"You conclude your performance.","Je rond je uitvoering af."
" a mesmerizing tale!"," een intrigerend verhaal!"
"Research","Onderzoek"
" of previous passages"," van vorige passages"
"Watch Sparring Practice","Oefentraining bekijken"
"the coda","de coda"
" the perfect phrasing."," de perfecte verwoording."
" stanza"," couplet"
"Learn ","Leren "
"Read","Lezen"
" the poem to life with this flawless recitation."," het gedicht tot leven met een foutloze presentatie."
" has shared a few rumors."," heeft een paar geruchten gedeeld."
"Write","Schrijven"
"Go to Individual Combat Drill","Ga naar individuele gevechtsoefening"
"You continue the poem.","Je vervolgt het gedicht."
"Serve Customer","Klant serveren"
"You've learned ","Je hebt geleerd "
" embraces "," omhelst "
"Spar","Oefenen"
"Wait for Combat Training","Op gevechtstraining wachten"
"Pray to ","Bidden tot "
"Seed text","Seed tekst"
" has discovered "," heeft ontdekt "
" playing with "," spelen met "
"Chant","Bezingen"
" telling the tale quite well."," het verhaal best goed vertellen."
"The poetry enters","Het gedicht betreedt"
"Training Session","Trainingsessie"
"You continue the story.","Je vervolgt het verhaal."
"Sing","Zingen"
" tell"," vertel"
"first ","eerste "
"Serve ","Serveren "
"The music enters ","De muziek gaat verder met "
" in the middle of "," temidden van "
"dancing ","dansen "
"Play","Spelen"
"/Resting","/Uitrusten"
" has shared many tales from beyond "," heeft vele verhalen van ver gedeeld "
" concludes a performance."," rond een uitvoering af."
" of the two themes"," van de twee thema's"
" pick up "," pak op "
"the musical composition ","het muziekstuk "
"You cannot perform here.","Je kunt hier niet optreden."
" over the details."," de details"
"Teach ","Onderwijzen "
" stumble"," verhaspel"
" has shared a rumor from abroad."," heeft een gerucht van ver gedeeld."
"Meditate on ","Mediteren over "
"Some performers finish their act.","Een aantal spelers ronden hun act af."
" choose"," kies"
"You could not find a partner.","Je kon geen partner vinden."
" empty "," leeg "
"Organize Combat Training","Gevechtstraining organiseren"
" Demonstration"," Demonstratie"
"the stanza","het couplet"
"the finale","het slot"
"Copy","Kopi‰ren"
" of the previous passage"," van de vorige passage"
"Lead ","Leiden "
"Write about ","Schrijven over "
"You feel like you know the basic rules of ","Je hebt het gevoel dat je de basisregels weet van "
"The dance continues.","De dans gaat verder."
"The performers","De spelers"
"a recapitulation","een opsomming"
"a series of variations","een aantal variaties"
" the story in vivid detail."," het verhaal met levendige details."
"Organize ","Organiseren "
"The story continues.","Het verhaal gaat verder."
"'s","s"
" has finished performing."," zijn klaar met de uitvoering."
"Watch Dance","Naar de dans kijken"
" on the second theme"," op het tweede thema"
"Play Make Believe","Doen alsof"
"the verse paragraph","de strofe"
"Listen to Story","Naar een verhaal luisteren"
"improvised music, ","ge‹mproviseerde muziek "
" gives you "," geeft je "
"There is not enough room to perform here.","Er is hier niet genoeg ruimte om op te treden."
"the exposition","de expositie"
"Play ","Spelen "
"You continue the music.","Je vervolgt de muziek."
" verse paragraph"," strofe"
"a bridge-passage","een overbruggende passage"
"Archery Practice","Boogschuttraining"
" line."," regel."
"Watch ","Bekijken "
"an improvised recital of ","een ge‹mproviseerde versie van "
"Go to Combat Training","Naar gevechtstraining gaan"
"Play with ","Spelen met "
" of the first theme"," van het eerste thema"
"Tell Story","Verhaal vertellen"
"begins","begint"
"There are not enough dancers.","Er zijn niet genoeg dansers."
"Activity","Activiteit"
"reciting the poem ","draagt het gedicht voor "
" on the first theme"," op het eerste thema"
"Activity Event","Evenement"
" of the second theme"," van het tweede thema"
"Recite Poetry","Po‰zie voordragen"
"Wait for ","Wachten op "
"Discuss ","Bespreken "
"a toy","wat speelgoed"
" has become a student of "," is een student geworden van "
"Perform Dance","Dansen"
"theme","thema"
"Go to Sparring Practice","Ga naar een oefentraining"
"Preparing text objects...","Tekst objecten voorbereiden..."
"an improvised dance, ","een ge‹mproviseerde dans "
"Go to Sparring Match","Ga naar een oefenwedstrijd"
"The music continues.","De muziek gaat verder."
" picks up "," pakt op "
" bring"," breng"
"Perform Music","Muziek spelen"
"Go to ","Ga naar "
" playing make believe."," doet alsof."
"a verse","een couplet"
" on the theme"," op het thema"
"a simple passage","een simpele passage"
"the ","de "
" of the theme"," van het thema"
"The overall text emphasizes ","De tekst legt de nadruk op "
" and "," en "
"second ","tweede "
"The poem continues.","Het gedicht gaat verder."
"Listen to Music","Naar muziek luisteren"
"the introduction","de introductie"
"the story of ","het verhaal van "
"Your","Jouw"
"the synthesis","de synthese"
"a chorus","een refrein"
"Socialize","Kletsen"
"Some","Sommige"
"The performers are finished.","De spelers zijn klaar."
" now."," nu."
"The dance enters a new section with ","De dans loopt over in een nieuwe dans met "
"Ponder ","Overdenken "
"Worship","Aanbidden"
"Listen to Poetry","Naar po‰zie luisteren"
"Individual Combat Drill","Individuele gevechtsoefening"
"Lead Combat Training","Gevechtstraining leiden"
"Simulate ","Nabootsen "
" weave"," weef"
" recite"," draag"
"You continue the dance.","Je vervolgt de dans."
"You enter ","Je betreedt "
" empties "," leegt "
