"Archery","Öj szat"
"Woodworking","Fafeldolgoz s"
"This parameter set will be reset.","Ez a param‚terk‚szlet alaphelyzetbe  ll."
"Loading work quotas...","Munkakv¢t k bet”lt‚se..."
"You begin","Te kezdesz"
"amber","borosty n"
" terrified"," r‚mlt"
"bowls","t lak"
"a year ago","egy ‚ve"
"SAVAGERY REJECTION","VADSµG VISSZAUTASÖTµSA"
"Various seeds","Kl”nb”z‹ magok"
"boiling clear glass","forr sban l‚v‹  tl tsz¢ veg"
"Mid-","K”z‚p-"
"Writing","Ör s"
"announcement","bejelent‚s"
", but it means nothing now.",", de ez semmit nem jelent m r."
"Frequent","Gyakori"
"has a large body but is incredibly skinny","nagy testalkat£, de hihetetlenl sov ny"
"Dirt Road","F”ld ét"
"Traits","Jellemvon sok"
" weapons"," fegyverek"
"Pike","Pika"
"You conclude your performance.","Befejezed az el‹ad sod."
"a tribute agreement","egy tiszteletad sr¢l sz¢l¢ meg llapod s"
"Disdains commerce","Megveti a kereskedelmet"
"Stone/clay","K‹/agyag"
"the color ","a sz¡n "
"Temperate Brackish Pool","M‚rs‚kelt enyh‚n s¢s vizû medence"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok t mogatj k a k”zepes magass g£, alacsony ‚s k”zepes csapad‚kmennyis‚gû, nagy v¡zelvezet‚sû, nem fagyos terleteket. "
"Nobles and administrators","Nemesek ‚s tisztvisel‹k"
"crystal glass paste","krist lyveg-paszta"
"swamp","mocs r "
"Inveigh Against ","R galmaz s ellene: "
"Pitches are densely packed in clusters as music moves from chord to chord.  ","A hangmagass gok sûrûn csoportosulnak, ahogy a zene akkordr¢l akkordra halad. "
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Helyezd a kutat egy v¡z feletti ny¡lt t‚rre, hogy viszonylag biztons gos terletet biztos¡ts a lakosok sz m ra a v¡zv‚telez‚shez. Szks‚g lesz mechanizmusokra, blokkokra, l ncra vagy k”t‚lre ‚s egy v”d”rre."
"Carpentry","µcsmesters‚g"
"Burial Chamber","Temetkez‚si kamra"
"stonecutter","k‹v g¢"
"death","hal l"
" spin"," p”rg‚s"
"The dead!","A halott!"
"molten crystal glass","olvadt krist lyveg"
"Loading image sets...","K‚pk‚szletek bet”lt‚se..."
"outside","kinn"
"Tropical Shrubland","Tr¢pusi cserj‚s"
" a friend."," egy bar t."
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok t mogatj k a k”zepes magass g£, alacsony csapad‚kmennyis‚gû, nagy v¡zelvezet‚sû, nem fagyos terleteket. "
"It is still shrouded in mystery.  ","M‚g mindig hom ly fedi. "
" been stunned again!"," £jra elk bult!"
"iguana","igu na"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Legal bb annyi legmagasabb vulkanikus ponttal kell rendelkeznie, ah ny vulk nt megk”vetel. "
"dining hall","‚tkez‹"
"fighting!","vereked‚s!"
"Loading flow guides...","µraml si £tmutat¢k bet”lt‚se..."
"New parameter set","éj param‚terk‚szlet"
"Slate","Pala"
"west","nyugat"
"Research","Kutat s"
" doesn't really care about anything anymore.  "," m r nem igaz n ‚rdekli ak rmi is. "
"Lava Mist","L vak”d"
"Temperate","M‚rs‚kelt"
"Can the elevation 400 be placed enough times to provide space for your peaks?  ","A 400-as magass g el‚gszer elhelyezhet‹ ahhoz, hogy helyet biztos¡tson a cs£csok sz m ra? "
"laughing","nevet"
"many nerves","sok ideget"
"desert","sivatag"
"Audio has been manually disabled.","A hang manu lisan kikapcsol sra kerlt."
"Blacksmithing","Kov csol s"
"North and/or South","szak ‚s/vagy D‚l"
"A single note in the fundamental scale is named.  ","Az alaphangsk la egyetlen hangj t nevezzk meg. "
"Designate constructed walls, floors, and other constructed tiles to be removed by miners.  This also designates all stairwells and ramps.","Jel”ld ki a b ny szok  ltal elt vol¡tand¢ ‚p¡tett falakat, padl¢kat ‚s egy‚b ‚p¡tett padl¢lapokat. Ez kijel”li az ”sszes l‚pcs‹sort ‚s r mp t is."
"High social awareness","Er‹s t rsadalmi tudatoss g"
"cavy","tengerimalac"
"I started a fist fight.","Buny¢t kezdem‚nyeztem."
"Selected tiles are medium-low priority.","A kiv lasztott mez‹k alacsony-k”zepes priorit s£ak."
"screaming","sik¡t"
"Population: ~600","N‚pess‚g: ~600"
" rolls"," gurul"
"heat","forr¢s g"
" jump"," od‚bb"
"Magma kiln","Magmakemence"
"catapult parts","katapult r‚szek"
"amber paste","borosty npaszta"
"coal powder","sz‚n por"
"panther","p rduc"
"interrogator","vallat¢"
"Coin","rme"
" of previous passages"," kor bbi r‚szekb‹l"
"Poor social awareness","Gyenge t rsadalmi tudatoss g"
"anteater","hangy sz"
"Selected tiles are low priority.","A kiv lasztott mez‹k alacsony priorit s£ak."
"many died","sokan meghaltak"
"The world generator is having trouble setting drainage in the manner specified by the parameters.  ","A vil ggener tornak gondjai vannak a v¡zelvezet‚s param‚terek  ltal meghat rozott m¢don t”rt‚n‹ be ll¡t s val. "
"Historical events ","T”rt‚nelmi esem‚nyek "
"hyena","hi‚na"
"Disdains hard work","Megveti a kem‚ny munk t"
"slept in room","szob ban aludt"
"died in the cold","meghalt a hidegben"
"Non-interactive help will be available whatever you decide.","A nem interakt¡v seg¡ts‚g el‚rhet‹ lesz, b rhogy is d”ntesz."
"Dig a channel, making a ramp on the level below.","µss egy csatorn t, ‚s alak¡ts ki egy r mp t az alatta l‚v‹ szinten."
"Wood Burning","Fa‚get‚s"
"an artery","egy art‚ria"
"Unnamed bedroom","N‚v n‚lkli h l¢szoba"
"Tropical Moist Brdlf Forst","Tr¢pusi lomblevelû nedves erd‹"
"Alternatively, you can reduce the number of edge oceans required.","Alternat¡vak‚nt cs”kkentheted a szks‚ges perem¢ce nok sz m t."
"Forgotten beast irritation minimum (less = sooner)","Elfeledett vad Irrit ci¢ja minimumon (kevesebb = hamarabb)"
"Throne Room","Tr¢nterem"
"Sacrifice","µldozat"
"Dig every tile selected.","Minden kiv lasztott mez‹ ki s sa."
" to "," a "
"Town","V roska/Kisv ros"
"Two installed mods have the same id and numeric version: ","K‚t telep¡tett modnak ugyanaz az azonos¡t¢ja ‚s numerikus verzi¢ja: "
"*** STARTING NEW GAME ***","*** éJ JµTK INDÖTµSA ***"
"Watch Sparring Practice","N‚zd a box gyakorl st"
"snow","h¢"
"Bake clay objects here, as well as a few other useful materials.  Clay can also be collected here if you have a clay collection zone.  Magma below the kiln will power tasks.  You are responsible for placing the kiln above the magma, but no other fuel is required.","gess ki agyagt rgyakat, valamint n‚h ny m s hasznos anyagot. Agyagot is lehet itt gyûjteni, ha van agyaggyûjt‹ z¢n d. A kemence alatti magma biztos¡tja az energi t a mûk”d‚shez. Magma f”l‚ kell helyezni, de nincs szks‚g egy‚b tzel‹anyagra."
" mirrored"," tkr”z”tt"
"The world generator is having trouble placing enough mid-level elevations.  ","A vil ggener tornak gondjai vannak a k”z‚pszintû magass gok elhelyez‚s‚vel. "
"After you embark, help is available by pressing the help button in the top right corner, including all of the tutorials.","Miut n elindult l, a jobb fels‹ sarokban tal lhat¢ s£g¢ gomb megnyom s val rendelkez‚sre  ll a seg¡ts‚g, bele‚rtve az ”sszes oktat¢programot is."
"a creature","egy l‚ny"
"Strand Extraction","Sz lkivon s"
"Making cave pops...","Barlangi popul ci¢k l‚trehoz sa..."
"lava mist","l va k”d"
" headwear"," fejfed‹"
"daughter","le ny"
"slept on grass","fûben aludt"
"the part","a r‚sz"
"Alternatively, you can reduce the number of swamp squares and regions required by the parameters.","Alternat¡vak‚nt cs”kkentheted a param‚terek  ltal megk”vetelt mocs rn‚gyzetek ‚s r‚gi¢k sz m t."
"little willpower","kev‚s akarater‹"
"a demand of unconditional surrender","a felt‚tel n‚lkli megad s ig‚nye"
"Dump item","T‚tel kidob sa"
"months ago","h¢napokkal ezel‹tt"
