"Throw ","caith "
"Archery","boghd¢ireacht"
"Woodworking","adhmad¢ireacht"
"steward","st¡obhard"
"Brook","sruth n"
"banish","d¡bir"
" Bin"," araid"
"Bookcases: ","leabhrag in: "
"Tools","uirlis¡"
"This","seo"
"This is love.","Is gr  seo"
"sticks","cip¡n¡"
"exchange","malart£"
"Excellent","barr-"
"novel","£rsc‚al"
"Charge Attack","ionsa¡"
"Guilty","ciontach"
"groups","gr£pa¡"
"zaniness","craice ilte"
"bear","b‚ar"
"metal","miotal "
"silk","s¡oda"
"agricultural","talmha¡och"
"animal","ainmh¡"
"artistic","eala¡onta"
"balanced","cothroma¡ocht"
"beautiful"," lainn"
"birthing","breith"
"blighted","millte "
"cavernous","Cuasach"
"chaotic","anord£il"
"charitable","carthanach"
"child-like","p isti£il"
"coastal","c¢sta"
"consoling","s¢l sach"
"courageous","misni£il"
"crafted","cearda¡ocht"
"created","cruth£"
"dancing","ag damhsa"
"dark","dorcha "
"dawning","breacadh an lae"
"noon-time","n¢in"
"dead","b s"
"deformed","m¡chumtha"
"depraved","m¡mhor ltacht"
"disciplined","smacht"
"diseased","galrach"
"dreaming","ag taibhreamh"
"dusklight","tr thn¢na"
"dutiful","umhal"
"familial","teaghlaigh"
"famous","c ili£il"
"fated","cinni£int"
"fertile","torth£il"
"festive","f‚ilti£il"
"fiery","las nta"
"fish","iasc"
"baked","b c ilte"
"forgiving","maiteach"
"protected","daingean"
"free","saor"
"gambling","cearrbhachas"
"playful","spra¡£il"
"generous","flaithi£il"
"happy","sona"
"healing","cneas£"
"hospitable","f ilteach"
"hunting","seilg"
"inspired","inspior ideach"
"jealous","‚admhar"
"jeweled","seodmhar"
"just","c¢ir"
"laboring","scl bha¡ocht"
"wet","fliuch"
"rigid","docht"
"deceitful","fealltach"
"shining","lonrach "
"electrical","leictreach"
"long-lived","fadsaola¡"
"loving","gr mhar"
"loyal","d¡lis"
"lucky"," mharach"
"lustful","dr£isi£il"
"married","p¢sta"
"merciful","tr¢caireach"
"crystal","criostal "
"miserable","ainnis"
"misty","ceobhr nach"
"moonlit","gheala¡"
"mountainous","sl‚ibhti£il"
"muddy","draoibeach"
"murderous","d£nmharfach"
"lyrical","liriceach"
"natural","n d£rtha"
"nightmarish","millteanach"
"sworn","faoi mhionn"
"oceanic","aig‚anach"
"ordered","ord"
"painted","p‚inte ilte"
"peaceful","suaimhneach"
"persuasive"," ititheach"
"leafy","duilleach"
"poetic","fileata"
"pregnant","torrach"
"rainy","fliuch"
"colorful","dathannach"
"reborn","athshaolaithe"
"joyous","athshaolaithe"
"vengeful","d¡oltasach"
"flowing","sreabhach "
"lordly","tiarnas"
"whispering","cogarnach"
"sacrificial","¡obartach"
"salty","goirt"
"scholarly","scol rtha"
"seasonal","s‚as£rach"
"silent","ci£in"
"cloudy","scamallach"
"singing","amhr na¡ocht"
"wordy","foclach"
"starry","r‚altach"
"stormy","stoirmi£il"
"strong","l idir"
"hopeless","‚ad¢chasach"
"sunny","grianmhar"
"thieving","bradach"
"enslaved","faoi dhaoirse"
"thunderous","toirni£il"
"wicked","olc "
"enterprising","fiontrach"
"traveling","taistil"
"treacherous","an-chont£irteach"
"wooden","adhmaid"
"tricky","casta"
"true","f¡or"
"twilight","idirsholas"
"valorous","misneach"
"victorious","caithr‚imeach"
"volcanic","bolc nach"
"warring","ag cogadh le"
"watery","uisci£il"
"wealthy","rachmasach"
"windy","gaofar"
"wise","cr¡onna"
"lettered","l‚annta"
